Designated Qualified Opportunity Zones,Unnamed: 2
Cook,13075960200
Cook,17031230600
Cook,17031231200
Cook,17031231500
Cook,17031251300
Cook,17031251500
Cook,17031251800
Cook,17031251900
Cook,17031260200
Cook,17031260600
Cook,17031270500
Cook,17031271200
Cook,17031271300
Cook,17031271800
Cook,17031280400
Cook,17031280900
Cook,17031290900
Cook,17031291200
Cook,17031292200
Cook,17031292500
Cook,17031301200
Cook,17031340600
Cook,17031350100
Cook,17031351100
Cook,17031351400
Cook,17031351500
Cook,17031380100
Cook,17031380500
Cook,17031381400
Cook,17031390300
Cook,17031400300
Cook,17031400400
Cook,17031400500
Cook,17031400800
Cook,17031420500
Cook,17031420600
Cook,17031420700
Cook,17031420800
Cook,17031430101
Cook,17031430200
Cook,17031430300
Cook,17031430400
Cook,17031430600
Cook,17031430900
Cook,17031431301
Cook,17031431302
Cook,17031440201
Cook,17031460100
Cook,17031460200
Cook,17031460301
Cook,17031460302
Cook,17031460400
Cook,17031460500
Cook,17031470100
Cook,17031490901
Cook,17031491300
Cook,17031491400
Cook,17031500100
Cook,17031500200
Cook,17031500300
Cook,17031520200
Cook,17031530200
Cook,17031530502
Cook,17031540101
Cook,17031611000
Cook,17031611100
Cook,17031611200
Cook,17031611600
Cook,17031611700
Cook,17031611800
Cook,17031611900
Cook,17031660301
Cook,17031660600
Cook,17031660700
Cook,17031660800
Cook,17031660900
Cook,17031670100
Cook,17031670200
Cook,17031670400
Cook,17031670500
Cook,17031670600
Cook,17031670700
Cook,17031670800
Cook,17031671100
Cook,17031671200
Cook,17031671400
Cook,17031671500
Cook,17031671600
Cook,17031671800
Cook,17031680500
Cook,17031680600
Cook,17031680900
Cook,17031681000
Cook,17031681200
Cook,17031681300
Cook,17031690300
Cook,17031691000
Cook,17031691100
Cook,17031691300
Cook,17031691400
Cook,17031691500
Cook,17031710100
Cook,17031710200
Cook,17031710300
Cook,17031710500
Cook,17031711000
Cook,17031711400
Cook,17031750600
Cook,17031803606
Cook,17031811600
Cook,17031813400
Cook,17031813900
Cook,17031814200
Cook,17031814400
Cook,17031814900
Cook,17031817200
Cook,17031817300
Cook,17031817500
Cook,17031817700
Cook,17031820400
Cook,17031820605
Cook,17031821200
Cook,17031821401
Cook,17031821500
Cook,17031822400
Cook,17031823703
Cook,17031823705
Cook,17031824800
Cook,17031825501
Cook,17031825600
Cook,17031825801
Cook,17031825900
Cook,17031826000
Cook,17031826100
Cook,17031826202
Cook,17031826303
Cook,17031826402
Cook,17031826500
Cook,17031826600
Cook,17031826700
Cook,17031826800
Cook,17031826901
Cook,17031827000
Cook,17031827100
Cook,17031827400
Cook,17031827500
Cook,17031827600
Cook,17031828504
Cook,17031829000
Cook,17031829302
Cook,17031829401
Cook,17031829700
Cook,17031830007
Cook,17031830300
Cook,17031834000
Cook,17031834200
Cook,17031834300
Cook,17031834400
Cook,17031834500
Cook,17031834600
Cook,17031834700
Cook,17031834800
Cook,17031834900
Cook,17031835000
Cook,17031835500
Cook,17031835900
Cook,17031836000
Cook,17031836100
Cook,17031836900
Cook,17031837000
Cook,17031838600
Cook,17031838700
Cook,17031838800
Cook,17031841000
Cook,17031841400
Cook,17031841500
Cook,17031841800
Cook,17031842100
Cook,17031842900
Cook,17031843000
Cook,17031843300
Cook,17031843600
Cook,27031480100
