tract,pop_12_17,crimes_per_1000,"Population, error",POP00,pop10,id,median_income,Median Income Error,Civilian Labor Force,Employed,Unemployed,pop_change,unemployment
230600,6606,153.2,748,7561,6818,17031230600,34716,3940,3091,2457,634,-13%,21%
231200,6138,280.9,647,7500,6095,17031231200,29120,8497,2636,2295,341,-18%,13%
231500,6699,293.0,1229,7624,6039,17031231500,28013,6082,2444,2105,339,-12%,14%
251300,4446,134.5,522,6255,4921,17031251300,29255,3821,1960,1539,421,-29%,21%
251500,4194,193.4,620,5475,4784,17031251500,21567,6339,1804,1375,429,-23%,24%
251800,5275,239.8,670,6320,5112,17031251800,23295,7550,1922,1557,365,-17%,19%
251900,4862,222.3,721,7456,5731,17031251900,20092,2502,1821,1286,535,-35%,29%
260200,1223,594.4,268,1455,1136,17031260200,33750,12220,441,351,90,-16%,20%
260600,1989,270.5,435,3374,2478,17031260600,20882,5029,574,393,181,-41%,32%
270500,1690,385.2,257,1346,1689,17031270500,16103,5104,648,497,151,26%,23%
271200,1214,352.6,203,1321,1170,17031271200,26098,4047,371,304,67,-8%,18%
271300,1261,328.3,247,1242,1045,17031271300,24878,22262,465,380,85,2%,18%
271800,783,353.8,275,1228,970,17031271800,16477,3083,201,167,34,-36%,17%
280400,1715,186.6,330,1450,1366,17031280400,35275,20006,647,542,105,18%,16%
280900,1014,173.6,154,1244,942,17031280900,19485,4584,457,321,136,-18%,30%
290900,4076,236.5,450,4606,4530,17031290900,24071,5542,1531,1029,502,-12%,33%
291200,2664,229.0,353,3054,2240,17031291200,24650,6411,1048,756,292,-13%,28%
292200,2922,194.4,393,3195,2961,17031292200,31902,10875,1070,786,284,-9%,27%
292500,4070,159.2,523,5575,4140,17031292500,40324,6440,1797,1435,362,-27%,20%
301200,3435,67.5,469,4961,4012,17031301200,26076,1861,1407,1211,196,-31%,14%
340600,995,269.3,198,1310,907,17031340600,11622,2053,334,184,150,-24%,45%
350100,2239,64.3,219,2310,2144,17031350100,43548,4458,1340,1234,106,-3%,8%
351100,2102,85.2,249,4734,1960,17031351100,10825,1725,678,459,219,-56%,32%
351400,1939,164.0,246,1405,1437,17031351400,13149,3095,904,534,370,38%,41%
351500,507,195.3,116,2215,255,17031351500,23700,4328,270,212,58,-77%,21%
380100,1932,118.0,293,1361,1924,17031380100,19328,3510,734,563,171,42%,23%
380500,800,85.0,168,1189,752,17031380500,19358,2473,353,249,104,-33%,29%
381400,1660,222.3,322,1354,1612,17031381400,38167,9105,863,746,117,23%,14%
390300,2830,126.1,455,2754,2743,17031390300,21769,5041,1294,1026,268,3%,21%
400300,1347,368.2,201,1650,1567,17031400300,29417,16339,603,463,140,-18%,23%
400400,1886,195.1,360,1905,1955,17031400400,32310,3731,911,643,268,-1%,29%
400500,1986,196.9,351,2508,2258,17031400500,24907,5633,803,588,215,-21%,27%
400800,2847,195.3,548,3515,2701,17031400800,20959,5430,1022,879,143,-19%,14%
420500,1704,166.7,446,3346,2624,17031420500,25781,11740,691,500,191,-49%,28%
420600,2017,233.0,239,3053,2219,17031420600,19801,8287,781,568,213,-34%,27%
420700,3269,229.4,502,4478,3261,17031420700,19042,4202,1060,696,364,-27%,34%
420800,2077,224.4,334,2564,2213,17031420800,35476,12567,905,790,115,-19%,13%
430101,3431,213.3,448,4808,3689,17031430101,32292,9093,1839,1451,388,-29%,21%
430200,4866,185.0,723,5332,4680,17031430200,22419,6501,2091,1746,345,-9%,16%
430300,2391,197.0,307,2900,2336,17031430300,15902,3494,748,550,198,-18%,26%
430400,2934,191.9,530,3452,2892,17031430400,15469,11139,1122,896,226,-15%,20%
430600,1732,173.2,277,1955,1665,17031430600,23300,7667,778,662,116,-11%,15%
430900,1356,150.4,195,1886,1814,17031430900,34286,18412,590,499,91,-28%,15%
431301,3319,236.8,561,4843,3545,17031431301,20625,4817,1483,1025,458,-31%,31%
431302,4161,223.3,684,4964,4166,17031431302,19756,9641,1833,1361,472,-16%,26%
440201,4805,185.8,780,5748,5060,17031440201,32143,10924,2454,1945,509,-16%,21%
460100,3133,170.8,543,4720,3405,17031460100,31094,4270,1570,1112,458,-34%,29%
460200,2678,104.2,414,3411,2385,17031460200,27925,6734,1232,1028,204,-21%,17%
460301,2917,131.3,414,4363,3404,17031460301,36182,11389,1347,1108,239,-33%,18%
460302,3468,165.8,435,4520,3803,17031460302,23345,3719,1439,986,453,-23%,31%
460400,3458,166.9,577,4205,3705,17031460400,39151,10392,1511,1310,201,-18%,13%
460500,4816,159.7,664,6976,5789,17031460500,37168,6733,2589,2243,346,-31%,13%
470100,2254,177.9,430,3278,2916,17031470100,24821,9035,1116,867,249,-31%,22%
490901,3768,141.5,575,4822,3891,17031490901,39750,7287,1901,1404,497,-22%,26%
491300,2465,223.5,426,3825,2886,17031491300,25912,3592,1017,674,343,-36%,34%
491400,3221,220.7,820,3788,2931,17031491400,28774,8098,1450,1009,441,-15%,30%
500100,3083,135.6,331,4581,3644,17031500100,41570,6154,1610,1449,161,-33%,10%
500200,2113,238.5,284,2351,2015,17031500200,34038,15480,1100,779,321,-10%,29%
500300,1417,205.4,147,1966,1666,17031500300,41587,6719,815,683,132,-28%,16%
520200,3572,70.3,614,4294,3817,17031520200,36228,6403,1652,1271,381,-17%,23%
530200,4296,182.5,692,7079,5152,17031530200,29539,7428,1743,1218,525,-39%,30%
530502,1419,131.8,193,2001,1667,17031530502,41696,12081,768,587,181,-29%,24%
540101,3881,213.1,529,5807,3373,17031540101,12660,3714,1515,936,579,-33%,38%
611000,918,179.7,166,1359,1098,17031611000,20813,2419,293,236,57,-32%,19%
611100,2307,94.9,300,3507,2922,17031611100,24972,3087,1020,800,220,-34%,22%
611200,2545,105.7,357,3395,2824,17031611200,27697,3841,939,794,145,-25%,15%
611600,1509,102.7,232,2123,1609,17031611600,36014,5699,737,573,164,-29%,22%
611700,1490,179.2,238,2836,1990,17031611700,25074,6695,652,503,149,-47%,23%
611800,2316,112.7,514,2585,2139,17031611800,31138,6215,1166,851,315,-10%,27%
611900,1798,187.4,336,2595,2045,17031611900,25231,5215,667,548,119,-31%,18%
660301,1537,141.8,204,2253,1785,17031660301,22057,4700,827,562,265,-32%,32%
660600,5883,154.3,670,7574,6333,17031660600,27426,3428,3021,2217,804,-22%,27%
660700,2041,184.2,272,2666,2366,17031660700,27344,12277,1004,703,301,-23%,30%
660800,5109,116.3,515,6624,5865,17031660800,37690,5069,2518,2109,409,-23%,16%
660900,4647,175.2,707,5443,4232,17031660900,29125,6616,2167,1448,719,-15%,33%
670100,1069,281.6,198,2032,1516,17031670100,35000,14615,565,407,158,-47%,28%
670200,953,320.0,231,2040,1380,17031670200,22625,7144,376,291,85,-53%,23%
670400,1680,164.3,276,2273,1956,17031670400,26289,5398,708,503,205,-26%,29%
670500,1143,234.5,185,1631,1321,17031670500,26087,3553,446,306,140,-30%,31%
670600,1068,195.7,214,2262,1650,17031670600,14848,10372,405,206,199,-53%,49%
670700,1140,350.9,226,1943,1491,17031670700,36058,8726,497,357,140,-41%,28%
670800,1333,328.6,274,2063,1635,17031670800,22083,5696,420,318,102,-35%,24%
671100,1088,300.6,283,1441,1259,17031671100,30577,9456,336,258,78,-24%,23%
671200,988,315.8,241,1621,1252,17031671200,20909,5865,417,221,196,-39%,47%
671400,1390,244.6,281,2385,2072,17031671400,24306,4399,585,351,234,-42%,40%
671500,2700,298.1,376,4369,3221,17031671500,28403,4215,1046,735,311,-38%,30%
671600,1917,254.0,348,3036,2495,17031671600,23203,9180,891,569,322,-37%,36%
671800,1292,186.5,277,1897,1422,17031671800,35962,16217,459,350,109,-32%,24%
680500,1375,238.5,271,2223,1481,17031680500,23354,3328,499,293,206,-38%,41%
680600,1594,217.7,339,1914,1431,17031680600,24464,5899,556,355,201,-17%,36%
680900,3143,297.8,444,4590,4019,17031680900,15612,4502,1088,795,293,-32%,27%
681000,2458,279.1,651,4328,3498,17031681000,15201,2510,898,678,220,-43%,24%
681200,2664,211.7,406,3813,2716,17031681200,23302,4296,1134,728,406,-30%,36%
681300,2325,247.3,384,3563,2936,17031681300,25735,7382,879,549,330,-35%,38%
690300,2393,234.0,318,2765,2191,17031690300,19904,11962,815,660,155,-13%,19%
691000,2444,191.9,404,2969,2492,17031691000,49297,17574,1421,1175,246,-18%,17%
691100,3304,204.0,572,3916,3266,17031691100,19125,6524,1274,902,372,-16%,29%
691300,2721,206.5,454,2606,2448,17031691300,40658,22254,1390,914,476,4%,34%
691400,2807,240.8,358,4196,3611,17031691400,28813,6471,1407,1233,174,-33%,12%
691500,2013,264.3,262,2373,1930,17031691500,20027,3852,842,556,286,-15%,34%
710100,1188,222.2,249,1460,1275,17031710100,15524,4409,560,331,229,-19%,41%
710200,4925,204.5,497,5801,5049,17031710200,26934,3095,2265,1669,596,-15%,26%
710300,1444,204.3,233,1627,1414,17031710300,33281,10191,614,390,224,-11%,36%
710500,4268,184.6,534,4965,4123,17031710500,30793,7453,2119,1693,426,-14%,20%
711000,3098,175.6,492,4010,3475,17031711000,33664,4372,1334,1076,258,-23%,19%
711400,2424,204.2,258,2969,2654,17031711400,37434,6542,969,792,177,-18%,18%
750600,3426,138.1,543,4485,3681,17031750600,34470,10485,1289,1053,236,-24%,18%
834000,2956,214.1,438,4018,3632,17031834000,34864,10981,1419,1154,265,-26%,19%
834200,4310,257.8,799,5996,4944,17031834200,33835,9121,2020,1711,309,-28%,15%
834300,6384,126.1,782,7106,6570,17031834300,34140,12164,2520,2064,456,-10%,18%
834400,4487,86.2,566,3458,3772,17031834400,38233,5681,1997,1734,263,30%,13%
834500,1273,245.1,229,1717,1475,17031834500,31483,6443,495,356,139,-26%,28%
834600,2535,247.7,585,5129,3778,17031834600,21196,5819,1096,692,404,-51%,37%
834700,1748,272.3,366,2915,2078,17031834700,21802,4224,617,439,178,-40%,29%
834800,1566,323.1,227,2894,1953,17031834800,20559,3623,605,380,225,-46%,37%
834900,1859,277.0,269,2906,2272,17031834900,18401,4735,617,437,180,-36%,29%
835000,5579,147.9,614,6789,5778,17031835000,26926,2541,2523,1908,615,-18%,24%
835500,1444,254.8,181,2006,1677,17031835500,20517,4028,560,414,146,-28%,26%
835900,3170,170.7,339,3022,3271,17031835900,18856,3463,1435,1039,396,5%,28%
836000,2685,93.1,258,2737,2177,17031836000,60368,9004,1497,1193,304,-2%,20%
836100,2163,240.4,365,2852,1761,17031836100,25462,6428,923,722,201,-24%,22%
836900,1422,213.1,307,1384,1442,17031836900,26458,11075,497,385,112,3%,23%
837000,2028,216.5,330,2270,2085,17031837000,29911,12751,701,585,116,-11%,17%
838600,1467,336.1,267,1299,1598,17031838600,14850,4662,326,264,62,13%,19%
838700,4631,328.4,723,4921,4484,17031838700,22742,4568,1699,1261,438,-6%,26%
838800,3526,179.5,517,3695,3233,17031838800,19155,5558,1205,914,291,-5%,24%
841000,878,600.2,104,2052,849,17031841000,63125,24968,534,507,27,-57%,5%
841400,1189,326.3,248,1732,1559,17031841400,29338,9651,558,480,78,-31%,14%
841500,2932,325.0,351,3635,2962,17031841500,24858,4137,1149,915,234,-19%,20%
841800,2756,131.7,346,3201,2505,17031841800,36250,10636,1107,823,284,-14%,26%
842100,7664,95.3,1179,7637,6731,17031842100,33945,8000,3022,2597,425,0%,14%
842900,2050,416.1,239,4188,2341,17031842900,21325,3702,902,833,69,-51%,8%
843000,2689,506.9,292,2766,2378,17031843000,18036,5594,905,759,146,-3%,16%
843300,2144,159.5,342,1904,1228,17031843300,47829,17047,892,757,135,13%,15%
843600,2822,177.9,383,3101,2807,17031843600,35714,4670,1238,932,306,-9%,25%
